id,id,name,distance,mass,radius
126,126,2MASS J05012406-0010452 [de],64.0,0.020046348000000002,0.14181293999999997
127,127,2MASS J05160945-0445499 [de],73.0,0.044865636,0.09968010999999999
128,128,2MASS J0523−1403,40.0,0.064911984,0.10379063
130,130,SDSS J053951.99-005902.0,41.62,0.058229868000000004,0.10379063
132,132,LSR 0602+3910 [de],34.6,0.026728464,0.14489582999999998
133,133,2MASS J06085283-2753583,102.0,0.036274344,0.15517213
136,136,2MASS J06244595-4521548 [de],39.0,0.053456928,0.10173536999999999
137,137,2MASS J06411840-4322329 [de],65.0,0.063957396,0.10379063
138,138,DENIS-P J0652197-253450 [de],51.0,0.07159410000000001,0.10790115
140,140,2MASS J07075327-4900503,60.0,0.068730336,0.10584589
141,141,UGPS J072227.51-054031.2,13.4,0.024819288000000002,0.10070773999999999
142,142,2MASSI J0727182+171001 [de],29.6,0.039138108,0.09659721999999998
143,143,2MASS J07290002-3954043 [de],25.8,0.035319756,0.09659721999999998
144,144,SDSS J074201.41+205520.5 [de],49.0,0.041047284,0.09659721999999998
146,146,DENIS-P J0751164-253043 [de],55.0,0.067775748,0.10584589
147,147,2MASS J07522390+1612157,60.0,0.064911984,0.20655362999999996
148,148,DENIS J081730.0-615520,16.1,0.042001872,0.09659721999999998
151,151,2MASS J08251968+2115521 [de],35.0,0.049638576000000004,0.10070773999999999
152,152,SDSSp J083008.12+482847.4 [de],43.0,0.045820224,0.10173536999999999
153,153,LHS 2021,55.0,0.084003744,0.11817744999999999
154,154,SDSS J083048.80+012831.1 [de],77.0,0.043911048,0.09865247999999999
155,155,2MASSI J0835425-081923 [de],23.53,0.059184456,0.102763
156,156,2MASSI J0847287-153237 [de],43.0,0.061093632,0.102763
157,157,2MASS J08533619-0329321,27.6,0.073503276,0.10995641
158,158,2MASSI J0859254-194926 [de],50.0,0.0477294,0.10070773999999999
160,160,2MASSI J0937347+293142,20.0,0.040092696000000004,0.09659721999999998
161,161,2MASS 0939−2448,17.4,0.030546816,0.09762484999999999
162,162,2MASS J09490860-1545485 [de],59.0,0.046774812,0.09865247999999999
163,163,2MASS J10073369-4555147,46.0,0.042001872,0.09659721999999998
164,164,2MASSI J1010148-040649 [de],55.0,0.048683988000000004,0.10070773999999999
167,167,2MASS J10224821+5825453 [de],60.0,0.025773876,0.14489582999999998
168,168,2MASSW J1036530-344138 [de],53.0,0.046774812,0.09968010999999999
169,169,2MASS J1047538+212423 [de],34.4,0.040092696000000004,0.09659721999999998
170,170,Luhman 16B,6.516,0.041047284,0.10481826
171,171,Luhman 16A,6.516,0.03818352,0.10379063
172,172,DENIS-P J1058.7−1548,49.0,0.061093632,0.102763
173,173,TWA 28,180.0,0.034365168,0.24560357
174,174,Cha 110913-773444,163.0,0.007636704,0.18497339999999998
176,176,SDSS J111010.01+011613.1,63.0,0.008591292,0.12742612
